"Title","Year","DOI","Link","Abstract"
"Nature-based solutions for sustainable cities: A review of the state of the art of green roof research","2025","10.47481/jscmt.1667461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001818543&doi=10.47481%2fjscmt.1667461&partnerID=40&md5=75f72eefe3656fe227bed3558839cc25","The study of green roofs is an interdisciplinary field recognized for its eco-friendly roofing solutions. Green roofs offer ecological, economic, and societal benefits, making them an effective way to address urbanization's negative impacts. This review explores the evolution of green roofs from ancient prototypes to modern innovations. Using the Google Scholar database, we conducted a bibliometric analysis of 50 articles to assess publication rates in the ""green roof "" area. Descriptive statistics were used to identify key contributors, ecosystem ser-vices, research methodologies, and spatial scales in green roof studies. Our analysis showed a rise in research on green roof technology in the early 21st century, with the United States and China leading this research. Urban heat island mitigation emerged as a primary research focus for green roofs, with cities being the most studied spatial scale. The most common keywords were ""green roofs,"" ""urban,"" and ""energy."" This study thoroughly reviews the past and present state of green roofs, showcasing a range of indicators that provide valuable insights for future research and emerging trends in the area. © 2025, Kare Publishing. All rights reserved."
"A worldwide review of formal national street classification plans enhanced via an analytical hierarchy process: Street classification as a tool for more sustainable cities","2024","10.1016/j.cities.2024.105371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201496022&doi=10.1016%2fj.cities.2024.105371&partnerID=40&md5=3ba42c3c83a0da92b474a6f437b6ee13","For cities to utilise their maximum liveability potential, their transport infrastructure and overall service provision need to function seamlessly. To this end, urban street eco-systems should be characterised, organised and utilised effectively. But is this happening on a mass scale across the globe? Are our urban street classification schemes forward-thinking and ready to respond to the emerging sustainability and resilience challenges cities face nowadays? This paper aims to answer these questions by examining and decoding the prevailing “formal street classification scheme model” through conducting a detailed worldwide review of formal national street classification plans. Out of 196 countries investigated, 128 official street classification plans were identified, analysed and evaluated. We also used an Analytical Hierarchy Process (AHP) with 20 experts coming from different fields (i.e., academics, policymakers, practitioners) to enhance our results and contribute to developing an index evaluating urban street classification under the prism of sustainability. The outcomes of our work signify that conventional pro-automobile approaches still prevail, thus shaping car-centric conditions, which undermine the role of sustainable modes and reduce the ability of cities to innovate and succeed. It is demonstrated that the road to achieve sustainability and completeness in urban transport systems, considering these car-led plans, is still uphill. Based on that, multi-dimensional classification systems prioritising public and active transport, while appreciating street's urban aspect should be promoted in the future. © 2024 The Authors"
"The green city as a driver of sustainable development","2024","10.1007/s43995-024-00077-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210236530&doi=10.1007%2fs43995-024-00077-x&partnerID=40&md5=38bcc9c5c0a9422eb21f7e3fc996f5d9","Given the accelerating pace of urbanization and worsening environmental constraints, it has become imperative to explore innovative and integrated solutions to shape a sustainable urban future. In this context, the emergence of the “Green City” stands out as an innovative approach to addressing environmental challenges while promoting sustainable urban development. This study aims to deepen our understanding of the crucial role played by the Green City as a driver to overcome obstacles related to environmental and urban sustainability. To achieve this objective, our methodology is based on several essential steps. Firstly, we establish a solid conceptual framework by comparing the Green City to sustainable cities. This initial step allows us to precisely define the contours and specific objectives of each concept, laying the groundwork for our comparative analysis. Next, we conduct a comprehensive analysis to explore how the Green City can contribute in a targeted manner to achieving sustainable development goals. By integrating these different approaches, our goal is to substantially advance knowledge and practices in sustainable urban planning, as well as the creation of more resilient and environmentally friendly cities. © The Author(s) 2024."
"Identification and prioritization urban E-vehicles barriers toward sustainable cities: A spherical fuzzy decision-making approach","2025","10.1016/j.energy.2024.134341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214112086&doi=10.1016%2fj.energy.2024.134341&partnerID=40&md5=eedf4673be0eb5d76035f8ec822d1613","The increasing worldwide apprehension about climate change triggered by the emanation of greenhouse gases from transportation has inspired global economies to embrace alternative fuel technologies. However, the conventional transportation mechanism highly consumes fossil energy and heavily deteriorate the environment. Fossil fuel vehicles pose several challenges for Pakistan, affecting energy security, economic stability, and environmental health. Dependence on obsolete and inefficient vehicles results in increased fuel consumption and import expenditures, burdening the national economy. Therefore, electric vehicles (EVs) are promoted as a realistic, environmentally friendly technology that can transform a sustainable transportation system. Furthermore, a critical gap exists in evaluating the key barriers to adopting EVs through technological transformation. Hence, this investigation intends to implement the multi-criteria decision-making approach to assess the challenges in the adoption of EVs aligned with sustainable development goals (SDG-11 & SDG-13). The research strategy begins with a comprehensive examination of existing literature and consultations with specialists to identify potential hindrances. Thus, a novel Spherical Fuzzy Analytical Hierarchical Process was employed to prioritize the main and sub-barriers. This study evaluated the four key obstacles related to EVs in emerging economies like Pakistan. The expert's evaluation indicated that the infrastructure barrier (34.99 %) ranked first, the financial barrier (27.92 %) was prioritized second, and technology was the third main barrier (20.99 %). Furthermore, public infrastructure, the effect on the electricity grid, and the lack of maintenance workshops are the top three sub-barriers. Hence, the government of Pakistan needs urgent action to enhance the technological and financial capability for the implementation of EVs. © 2025 Elsevier Ltd"
"Exploring the drivers of residents’ identification and green citizenship behavior in green cities: a multicountry study","2024","10.1108/JPMD-03-2023-0032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201815467&doi=10.1108%2fJPMD-03-2023-0032&partnerID=40&md5=ae1eb211f20acd87877bff38478dc27e","Purpose: The fundamental mission of every green city is to harmonize urban living with environmental preservation. However, a critical challenge arises when the residents of such cities do not share the same level of environmental consciousness, potentially eroding the integrity of the green city’s brand identity. Hence, this study aims to explore the factors influencing residents’ identification with green city branding and assesses how this identification subsequently affects their green citizenship behaviors. Design/methodology/approach: A survey of 1,217 residents from 15 green cities across six countries was conducted and analyzed using SPSS 28.0 for descriptive statistics and PLS-SEM for measurement and structural model analysis. Findings: The results indicate that green city-self connection, green city distinctiveness and environmental benefits significantly impact GCRI, which, in turn, significantly influences green city protection, loyalty and advocacy behaviors. However, green city social and economic benefits did not affect resident identification. Practical implications: The results of this study provide valuable managerial insights for city brand managers, green city developers and governmental representatives. The study underscores the importance of considering residents as crucial internal stakeholders in the creation of a green city identity that effectively promotes sustainable urban living and an eco-friendly culture. Originality/value: This study provides theoretical insights into the relationship between green identification and residents’ willingness and commitment to act as ambassadors and promote their city’s green values. © 2024, Emerald Publishing Limited."
"Green City Environmental Resource Monitoring and Privacy Protection Trust Evaluation Mechanism Based on Remote Sensing Network","2024","10.3745/JIPS.03.0201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208367330&doi=10.3745%2fJIPS.03.0201&partnerID=40&md5=f79a49cfa2ea04ceee2500747d5fd082","High-resolution remote-sensing-network technology has the advantages of low cost, accuracy, and real-time performance in green city environmental resource investigation and management. However, in the “Internet of everything, ” open, complex, and resource-intensive edge computing causes problems, such as equipment security issues and data leakage. Thus, the establishment of an effective trust evaluation mechanism has become an important research topic. In this study, the identity trust and behavioral trust of edge devices were combined, and a model was developed for evaluating the dynamic trust of edge devices. Through simulation analysis, the identity verification program has the advantages of good security performance and low bandwidth occupation, which increases the success rate of interaction with a device and enhances its data information security and privacy protection capabilities. Steps for the identity authentication process were identified, a trust evaluation mechanism was devised, and a privacy protection model was developed. Different indices were calculated to monitor environmental resources. * This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/3.0/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. Copyright © 2024 KIPS"
"Enhancing resilience for sustainable cities: a review of threats to urban trees","2025","10.1007/s10531-025-03025-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001066648&doi=10.1007%2fs10531-025-03025-w&partnerID=40&md5=8dc9c5594106946f049d5819799020e6","Urban trees provide essential provisioning, regulating, and cultural services, such as carbon sequestration, air and water quality regulation, and pest and disease control. However, unregulated urbanization increases the vulnerability of these trees to invasive pests, leading to tree loss and a reduction in ecosystem benefits. While many studies focus on forest ecosystems, limited research exists on the impact of pests and disease in urban settings. This review aims to address this gap by examining the ecosystem services provided by urban trees and the threats posed by pests and pathogens on them. It highlights the negative implications of pests on urban trees, affecting ecological, economic, and cultural factors such as disrupting biodiversity, reducing ecosystem services, increasing management costs, lowering property values, degrading aesthetics and heritage value, and risking human health. It discusses several strategies to mitigate the adverse effects of pests and pathogens and control their spread. Additionally, it characterizes the various stages to detect and manage tree pests (pre-border, border, or post-border) and identifies critical areas for further improvements within each stage before their establishment. The study also highlights strategies like biological control and implementing well-designed landscapes (with high diversity street trees), which can effectively control the spread and mitigate the pests after their establishment. In conclusion, the study emphasizes that effective pest management requires revising existing laws and policies at various administrative levels, necessitating a collaborative and inclusive approach that involves multiple stakeholders, local actors, and the public in creating sustainable and resilient urban environments. © The Author(s), under exclusive licence to Springer Nature B.V. 2025."
"Cost-benefit analysis of road-underground co-modality strategies for sustainable city logistics","2025","10.1016/j.trd.2024.104585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213532483&doi=10.1016%2fj.trd.2024.104585&partnerID=40&md5=ad23c0cd32f4ad5699e1fdcdf0152c23","New-type urbanization necessitates smart, green, and efficient logistics systems to meet growing mobility demand. This paper explores the road-underground co-modality for urban freight transport (RUM4UFT) as a solution to urban traffic challenges, which includes three modal split strategies: mixed-use metro lines, metro freight-passenger integration, and purpose-built underground corridors. A monetized cost-benefit analysis (CBA) model is developed to evaluate the major costs of RUM4UFT and the accompanied benefits in transportation, ecological, and logistics economics from the perspectives of the public sectors and logistics service providers. Taking the Beijing Municipal Administrative Center as a case study, the CBA model demonstrates the advantages of RUM4UFT in promoting social and environmental sustainability, with the purpose-built underground corridor offering the highest long-term investment value. The findings provide valuable insights for advancing city logistics performance through underground transport initiatives. © 2024 Elsevier Ltd"
"Urban Governance and Renewable Energy for Sustainable City Planning and Management","2024","10.28991/HEF-2024-05-04-04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214987871&doi=10.28991%2fHEF-2024-05-04-04&partnerID=40&md5=28efa4209bc52814193bda6a20c49537","In recent years, significant transformations have occurred in urban systems and their management by enhancing and developing governance through a comprehensive and organized framework based on multiple studies and methods in city management, particularly in the environment and energy sectors. To achieve a balance in the utilization of natural resources and improve the quality of life, the research aims to transform energy into sustainable forms, known as renewable energies, through urban governance as a transitional approach in traditional energy systems and the establishment of long-term sustainable planning systems through self-organizing governance work. This method enables all city sectors to rely on clean energy sources by creating digital governance maps to determine the future directions of cities, bridge gaps, and solve pollution problems and environmental issues. The goal is to develop flexible cities with advanced communications technology and digital governance capable of managing their systems independently. These efforts provide an organized and integrated approach to sustainability assessment, which is an essential part of the city planning process, including the classification and evaluation of alternatives and plans. By analyzing data through SPSS and utilizing Cronbach's Alpha, the research evaluates energy-related factors affecting the sustainability of cities by assessing suitability and quality criteria. © 2024, Ital Publication. All rights reserved."
"AIR QUALITY MANAGEMENT STRATEGIC FRAMEWORK FOR FUTURE SUSTAINABLE CITIES","2025","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217810027&partnerID=40&md5=d62ba59c1bbdc34d20d27eaa3ca68620","Pollution can originate from fixed, mobile, and local sources, due to human activity or naturally occurring processes. The well-developed cities contribute to over 70% of global carbon emissions. This paper analyses the parameters that contribute to achieving healthy, environmentally sustainable cities. A strategic planning framework is introduced to implement efficient and effective strategies for future sustainable cities. Therefore, the paper aims to identify and examine successful factors within a framework to reduce negative environmental impacts from air pollution designed for future sustainable cities. Data is collected from locations that reflect the nature of human settlement and well-being, and Advanced SWOT analysis was conducted to see the success factors. Data analyses reveal many factors that must be monitored to achieve SDG 11 targets. The results show how air quality affects people's health and social living conditions in urbanised areas. Comparisons between pre-and-post Covid 19 indicated the impact of the pandemic on air quality and showed evidence of possible reductions in air pollution when activities are reduced. The method used for this research is analysing the data recorded from a network of environmental stations constructed at different sites in the Emirate of Ajman. The achieved framework consists of strategies categorised into five main categories, formed by different functional layers, to demonstrate actions needed by the government. Recommendations have been drawn from the findings, and if considered, it could be possible to achieve sustainable air quality.keywords: Aerodynamics, Forebody and afterbody, Next keyword, Projectile, Supersonic speed. © School of Engineering, Taylor’s University."
"The service trade with AI and energy efficiency: Multiplier effect of the digital economy in a green city by using quantum computation based on QUBO modeling","2024","10.1016/j.eneco.2024.107976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208687244&doi=10.1016%2fj.eneco.2024.107976&partnerID=40&md5=357f1250d2ca0bb125d5c53f52d62475","This research examines the energy efficiency of city districts through the Malmquist–DEA model and investigates the spatial effects of the service trade and the digital economy on energy efficiency in urban green development. The study also delves into the specific context of the AI service trade to gain insights into and align with the emerging digital intelligence industry. The interplay of the service trade with the digital economy, alongside the AI service trade with innovation, significantly enhances urban energy efficiency and demonstrates positive externalities. Building on the empirical findings, this research employs cluster analysis to explore the green development of city districts and uses AI technology to program green communication and cooperation mechanisms across district clusters, employing quantum computation based on QUBO modeling. This study contributes to a deeper understanding of the cofunction of the service trade and the digital economy in terms of energy efficiency and aids in developing new quality productivities for green cities through quantum-based AI advancements. This research has clear implications for cutting-edge interdisciplinary applications of green AI technologies in social computing science. © 2024 Elsevier B.V."
"Modeling sustainable city trips: integrating CO2e emissions, popularity, and seasonality into tourism recommender systems","2025","10.1007/s40558-024-00303-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217161129&doi=10.1007%2fs40558-024-00303-1&partnerID=40&md5=831aa0b00698eff46ba66f2763e493cf","Tourism affects not only the tourism industry but also society and stakeholders such as the environment, local businesses, and residents. Tourism recommender systems (TRS) can be pivotal in promoting sustainable tourism by guiding travelers toward destinations with minimal negative impact. Our paper introduces a composite sustainability indicator for a city trip recommender system based on the users’ starting point and month of travel. This indicator integrates CO2e emissions for different transportation modes and analyses destination popularity and seasonal demand. We quantify city popularity based on user reviews, points of interest, and search trends from Tripadvisor and Google Trends data. To calculate a seasonal demand index, we leverage data from TourMIS and Airbnb. We conducted a user study to explore the fundamental trade-offs in travel decision-making and determine the weights for our proposed indicator. Finally, we demonstrate the integration of this indicator into a TRS, illustrating its ability to deliver sustainable city trip recommendations. This work lays the foundation for future research by integrating sustainability measures and contributing to responsible recommendations by TRS. © The Author(s) 2025."
